SKU,Item Name,Category,Subcategory,Measure Type,Base UOM,Reporting UOM,Inventory UOM,Cost Account,Inventory Account
"10814155N","Shio Koji 500ml","grocery","","Volume","oz","oz","ml","5000","1400"
"10815289","Prosciutto, Italian Sliced 1lb","meat","","Volume","oz","oz","lb","5000","1400"
"108362","Le Ragnaie, Brunello di Montalcino 2020 750ml","wine","","Each","ea","ea","ea","5000","1400"
"108364","Le Ragnaie, 'Vecchie Vigne', Brunello di Montalcino 2020 750ml","wine","","Each","ea","ea","ea","5000","1400"
"108366","Le Ragnaie, 'Casa Montisoli', Brunello di Montalcino 2020 750ml","wine","","Each","ea","ea","ea","5000","1400"
"10843175BC","Salame di Manzo 1lb","meat","","Volume","oz","oz","lb","5000","1400"
"10872793","Agar Agar 500g","grocery","","Weight","oz","oz","g","5000","1400"
"10874","Lavash 1each","bakery","","Each","ea","ea","each","5000","1400"
"10875492N","Vanilla Bean Gelato 1L","dairy","","Volume","oz","oz","l","5000","1400"
"10875601N","Coconut Sorbet Vegan 5L","dairy","","Volume","oz","oz","l","5000","1400"
"10876508N","Passion Pineapple Sorbet 1L","dairy","","Volume","oz","oz","l","5000","1400"
"108983","Soy Sauce 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"10899","Nasturtium 1each","produce","","Each","ea","ea","each","5000","1400"
"1091109-B06	","Chateau Langoa Barton 2009 750ml","wine","","Each","ea","ea","ea","5000","1400"
"109148","Cabot Clothbound Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"10937403","Honeycomb 12oz","grocery","","Volume","oz","oz","oz","5000","1400"
"10940901","Sweet Potato 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"10941613","Flatbread 9x6 192g","grocery","","Weight","oz","oz","g","5000","1400"
"10943109","Yams 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"10955628","Sicilian Sunrise Sorbet, Vegan 1L","grocery","","Volume","oz","oz","l","5000","1400"
"10955661","Ginger Mint Sorbet 1L","dairy","","Volume","oz","oz","l","5000","1400"
"1095910","Gochujang GF 1kg","grocery","","Weight","oz","oz","kg","5000","1400"
"10965","Blue Corn Tortilla 6" 12each","grocery","","Each","ea","ea","each","5000","1400"
"10970","Tortilla, Flour 12" 12each","grocery","","Each","ea","ea","each","5000","1400"
"109844","Point Reyes Blue Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"1099985","Butter, Plant Based 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"1102013","White Soy Sauce 1.8L","grocery","","Volume","oz","oz","l","5000","1400"
"1108288-B12","Chateau Giscours 2014 750ml","wine","","Each","ea","ea","ea","5000","1400"
"1108711","Dill 1lb","produce","","Volume","oz","oz","lb","5000","1400"
