Vendor Item Number,Vendor,Item,Purchase U of M,Vendor Item Name,Each Amt,Contract Price,Acceptable Variance %,Primary,Contract Expiration
"1037350-B12","","1037350-B12","Case","Chateau Cantemerle, Haut Medoc 2010 750ml",12,,,Y,
"1038396-B12","","1038396-B12","Each","Chateau Pichon Baron 2000 750ml",1,,,Y,
"1039813-B06","","1039813-B06","Each","Chateau Canon La Gaffeliere 2000 750ml",1,,,Y,
"108131","","108131","Case","Smith & Sheth, 'CRU', Chardonnay 2022 750ml",6,,,Y,
"108362","","108362","Case","Le Ragnaie, Brunello di Montalcino 2020 750ml",12,,,Y,
"108364","","108364","Case","Le Ragnaie, 'Vecchie Vigne', Brunello di Montalcino 2020 750ml",6,,,Y,
"108366","","108366","Case","Le Ragnaie, 'Casa Montisoli', Brunello di Montalcino 2020 750ml",6,,,Y,
"1091109-B06	","","1091109-B06	","Each","Chateau Langoa Barton 2009 750ml",1,,,Y,
"10970","","10970","Case","Tortilla, Flour 12" 12each",48,,,Y,
"1108288-B12","","1108288-B12","Each","Chateau Giscours 2014 750ml",1,,,Y,
"1115673-B06","","1115673-B06","Each","Chateau Calon Segur 2016 750ml",1,,,Y,
"1116547-B06","","1116547-B06","Each","Chateau Les Carmes Haut Brion 2016 750ml",1,,,Y,
"1117021-B06","","1117021-B06","Case","Clos Fourtet 2016 750ml",6,,,Y,
"11201270","","11201270","Each","Crab Meat, Lump 1tin",1,,,Y,
"11235532","","11235532","Each","Branzino, Euro 1lb",16,,,Y,
"11238503","","11238503","Each","Dover Sole 1lb",16,,,Y,
"1124443-C06","","1124443-C06","Each","Chateau Cos d'Estournel, 'Le Medoc de Cos' 2016 750ml",1,,,Y,
"11248000","","11248000","Each","Hiramasa (Yellowtail/King Fish) 1lb",16,,,Y,
"1139691-B12","","1139691-B12","Each","Chateau Cos d'Estournel 1990 750ml",1,,,Y,
"1141359-B06","","1141359-B06","Case","Chateau Nenin 1998 750ml",6,,,Y,
"1146440-C06","","1146440-C06","Each","Hetszolo, '5 Puttonyos', Tokaji 2010 500ml",1,,,Y,
"11485","","11485","Each","Micro Citrus Mix 1each",1,,,Y,
"11824","","11824","Each","Green Garlic 1lb",16,,,Y,
"11866","","11866","Case","Greek Yogurt 1quart",6,,,Y,
"12092","","12092","Case","Almond, Smoked 1lb",400,,,Y,
"12120","","12120","Case","Cous Cous 1lb",80,,,Y,
"12386","","12386","Case","Alta Cucina Tomatos 108oz",648,,,Y,
"13037","","13037","Each","Molasses 1gal",128,,,Y,
"13120307","","13120307","Case","Chilean Seabass 1lb",168,,,Y,
