Description,Vendor,Category,PackType,Qty,UnitCost
"CH LES CARMES HAUT BRN FBC LGN 750mL","Republic National Distributing Company","Uncategorized","Unknown",3,232.25
"DY LYCHEES IN HEAVY 12/15 OZ CS PIt#: 5","The Chefs Warehouse","Uncategorized","Case (CS)",1,40
"Warres Otima 10yr Tawny Port 500ml 6x750ml Bt","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",3,159
"Lieu Dit Sauvignon Blanc 12x750ml Bt 2023","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",4,186
"Abbazia di Novacella Pinot Grigio Alto Adige 12x750ml Bt 2024","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",4,198
"LEMON 165 CT FANCY","Mr. Greens","Produce","Unknown",1,34.49
"COURCAL POMMARD CLOS EPENOTS 750mL","Republic National Distributing Company","Uncategorized","Unknown",6,131.25
"LETTUCE LITTLE SWEET GEM 8/4 CT","Mr. Greens","Produce","Unknown",1,32.31
"ONION GREEN CLN/TRIM 48CT","Mr. Greens","Produce","Unknown",1,18.95
"FISELE VYD CAB 6PK 750mL","Republic National Distributing Company","Uncategorized","Unknown",3,352.25
"GEUGES MGD LES ST GEORGES,1ER 750mL","Republic National Distributing Company","Uncategorized","Unknown",10,202.25
"MASSULINO BAROLO DOCG VR RSV 750mL","Republic National Distributing Company","Uncategorized","Unknown",3,257.25
"ONION SWEET 40 #","Mr. Greens","Produce","Unknown",1,18.93
"Abreu Red Blend Las Posadas Howell Mountain 3x750ml Bt 2019","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",1,1977
"Abreu Red Blend Rothwell Hyde Vineyard Napa Valley 6x750ml Bt 2021","Johnson Brothers Maverick of Texas","Uncategorized","Unknown",0,1350
"BOOKER NOB'S BOURBO N 6/CS 750ML","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",1,86.7
"PEPPER FRESNO RED 10#","Mr. Greens","Produce","Unknown",2,4.62
"Tempus Fugit Creme De Caco 700ML 2","Spec's Wine, Spirits & Finer Foods","Uncategorized","Unknown",2,29.26
"PINEAPPLE 6 CT","Mr. Greens","Produce","Unknown",2,3.42
"ROSEMARY 1 #","Mr. Greens","Uncategorized","Unknown",1,11.88
"SQUASH HONEYNUT 1/2 BU","Mr. Greens","Uncategorized","Unknown",2,3.62
"TARRAGON 1 #","Mr. Greens","Uncategorized","Unknown",1,24.01
"WATER AG DE PDRA SPARKLING 24/12 OZ","Mr. Greens","Beverages (Non-Alc)","Ounce (OZ)",0,32
"WATER AG DE PDRA SPARKLING12/22 OZ","Mr. Greens","Beverages (Non-Alc)","Ounce (OZ)",1,28
"CHS PARMESAN GRATED 1/5 LB PC (4 PER CS) PH#: 5","The Chefs Warehouse","Uncategorized","Case (CS)",0,4
"Case*Acqua Panna Water*1 Lt 1LT","Spec's Wine, Spirits & Finer Foods","Beverages (Non-Alc)","Case (CS)",20,22.8
"Case*Acqua Panna Water*750 750ML","Spec's Wine, Spirits & Finer Foods","Beverages (Non-Alc)","Case (CS)",3,24.24
"Case*Real*Lychee Infused 16.9OZ","Spec's Wine, Spirits & Finer Foods","Uncategorized","Case (CS)",2,44.52
"CROISSANT DOUGH SHEETS 1/10 CT CS PH#: 10","The Chefs Warehouse","Bakery","Case (CS)",2,180
"VINEGAR APPLE CIDER 4/1 GAL BC PH#: 5","The Chefs Warehouse","Produce","Gallon (GAL)",1,92.42
"SHRIMP EZ PEEL 13/15 10/2 LB CS PH#: 10","The Chefs Warehouse","Seafood","Case (CS)",1,15.5
"WAGYU HOT DOG COCKTAIL 32-1 2/5 LB CS PH#: 10","The Chefs Warehouse","Specialty & Gourmet","Case (CS)",1,9.5
"MFM NUESKE SLAB BACON WHOLE 1/10 LB CS PH#: 5","The Chefs Warehouse","Meat & Protein","Case (CS)",1,9.49
