SKU,Item Name,Vendor Code,Purchase UOM,Pack Size,Inventory UOM,Conversion Factor,Measure Type,Recipe UOM
BARC000012,"Carrot Passionfruit Syrup 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
IT4523510,"Cherry Marachiano 1gal","4523510","case","1gal","gal",64,Each,"oz"
IT4523510,"Cherry Marachiano 1gal","","bottle","1gal","gal",128,Each,"oz"
SPC120,"Cinnamon Stick - Bev 8oz","SPC120","bottle","8oz","oz",8,Each,"oz"
IT10441563,"Coffee Cold Brew Nola 10.66fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
IT10441563,"Coffee Cold Brew Nola 10.66fl.oz","10441563","case","12/10.66oz","oz",127.92,Each,"oz"
BARC000013,"Cranberry Juice 64fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000013,"Cranberry Juice 64fl.oz","","case","8/64oz","oz",512,Each,"oz"
IT10359,"Cucumber - Bev 1each","10359","bottle","1each","each",1,Each,"oz"
IT10359,"Cucumber - Bev 1each","20410","case","6/1each","each",6,Each,"oz"
IT10359,"Cucumber - Bev 1each","10359","case","12/1each","each",12,Each,"oz"
IT10359,"Cucumber - Bev 1each","20410","case","4/1each","each",4,Each,"oz"
IT10359,"Cucumber - Bev 1each","9584","case","3/1each","each",3,Each,"oz"
IT10359,"Cucumber - Bev 1each","","case","1ea","ea",1,Each,"oz"
BARC000014,"Cucumber Mint Syrup 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000014,"Cucumber Mint Syrup 0.5gal","","bottle","0.5gal","gal",64,Each,"oz"
BARC000015,"Cucumber, Hot House - Bev 1each","10359","case","12/1each","each",12,Each,"oz"
BARC000015,"Cucumber, Hot House - Bev 1each","9584","case","3/1each","each",3,Each,"oz"
IT99224,"Cucumber, Hot House 1lb","","bottle","1L","L",33.814,Each,"oz"
IT99224,"Cucumber, Hot House 1lb","40221","case","5/1lb","lb",80,Each,"oz"
IT99224,"Cucumber, Hot House 1lb","99224","case","2/1lb","lb",32,Each,"oz"
BARC000016,"Custom Logo Event Ice 1each","","bottle","1each","each",1,Each,"oz"
BARC000017,"Cutwater Ginger Beer Can 12fl.oz","","case","24/12oz","oz",288,Each,"oz"
BARC000018,"Dehydrated Pineapple Slices 1each","","case","80/1each","each",80,Each,"oz"
BARC000019,"Delilah Logo Flower 2"Ice Cubes 1each","","case","1000/1each","each",1000,Each,"oz"
BARC000019,"Delilah Logo Flower 2"Ice Cubes 1each","","case","1ea","ea",1,Each,"oz"
BARC000019,"Delilah Logo Flower 2"Ice Cubes 1each","128580","case","100/1each","each",100,Each,"oz"
BARC000020,"Delilah Miami Logo Ice Cube 1each","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000020,"Delilah Miami Logo Ice Cube 1each","","case","80/1each","each",80,Each,"oz"
BARC000020,"Delilah Miami Logo Ice Cube 1each","","bottle","1each","each",1,Each,"oz"
BARC000020,"Delilah Miami Logo Ice Cube 1each","","case","100/1each","each",100,Each,"oz"
BARC000021,"Delilah Mints 1case","","bottle","750mL","mL",25.3605,Each,"oz"
BARC000021,"Delilah Mints 1case","","case","10/1each","each",10,Each,"oz"
BARC000021,"Delilah Mints 1case","","bottle","1each","each",1,Each,"oz"
IT401502,"Dirty Sue Jumbo Onion 16fl.oz","401502","bottle","16oz","oz",16,Each,"oz"
IT101291,"Dirty Sue Olive Juice 375ml","101291","case","12/375mL","mL",152.163,Each,"oz"
IT71713,"Dirty Sue Olive Juice 750ml","71713","case","12/750mL","mL",304.326,Each,"oz"
IT2208,"Dried Hibiscus Flower 1each","2208","case","5/1each","each",5,Each,"oz"
IT27441,"Dry Lime Slice 1each","","bottle","750mL","mL",25.3605,Each,"oz"
IT27441,"Dry Lime Slice 1each","27441","case","300/1each","each",300,Each,"oz"
IT100044,"Edible Flower Mix - Bev 1each","100044","bottle","1each","each",1,Each,"oz"
IT10319,"Edible Flower- Micro 1each","10319","bottle","1each","each",1,Each,"oz"
IT2210,"Edible Flower, Nastrutium 1each","","bottle","750mL","mL",25.3605,Each,"oz"
IT2210,"Edible Flower, Nastrutium 1each","2210","case","50/1each","each",50,Each,"oz"
IT2230,"Edible Flower, Violas 1pack","2230","bottle","1each","each",1,Each,"oz"
IT2230,"Edible Flower, Violas 1pack","","case","1ea","ea",1,Each,"oz"
BARC000022,"Elderflower Syrup 1gal","","bottle","1gal","gal",128,Each,"oz"
IT133004,"Fabbri Amarena Cherries 1each","133004","case","6/1each","each",6,Each,"oz"
IT316887,"Fee Bros Aztec Chocolate Bitters 5fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
IT316887,"Fee Bros Aztec Chocolate Bitters 5fl.oz","316887","bottle","5oz","oz",5,Each,"oz"
IT358459,"Fee Bros Fee Foam 5oz","","bottle","5oz","oz",5,Each,"oz"
IT358459,"Fee Bros Fee Foam 5oz","358459","case","12/5oz","oz",60,Each,"oz"
IT316907,"Fee Bros Rose Water 5fl.oz","","case","1ea","ea",1,Each,"oz"
IT316907,"Fee Bros Rose Water 5fl.oz","316907","bottle","5oz","oz",5,Each,"oz"
IT9904,"Fever Tree Club Soda 200ml","9904","case","24/200mL","mL",162.3072,Each,"oz"
BARC000023,"Fever Tree Club Soda 500ml","","case","8/500mL","mL",135.256,Each,"oz"
IT9905,"Fever Tree Ginger Ale 200ml","9905","case","24/200mL","mL",162.3072,Each,"oz"
IT9912,"Fever Tree Gingerbeer 200ml","9912","case","24/200mL","mL",162.3072,Each,"oz"
IT9918,"Fever Tree Gingerbeer 500ml","9918","case","8/500mL","mL",135.256,Each,"oz"
IT67717,"Fever Tree Tonic 150ml","","bottle","150mL","mL",5.0721,Each,"oz"
IT67717,"Fever Tree Tonic 150ml","67717","case","24/150mL","mL",121.7304,Each,"oz"
IT9911,"Fever Tree Tonic Water 200ml","9911","case","24/200mL","mL",162.3072,Each,"oz"
IT108744,"Fever Tree Tonic Water 500ml","108744","case","8/500mL","mL",135.256,Each,"oz"
IT231773,"Filthy Blue Cheese Olives 64oz","231773","case","6/64oz","oz",384,Each,"oz"
IT665677,"Filthy Olive Brine, Bottle 32fl.oz","665677","case","8/32oz","oz",256,Each,"oz"
IT595375,"Filthy Olive Brine, Pouch 8fl.oz","","bottle","750mL","mL",25.3605,Each,"oz"
IT595375,"Filthy Olive Brine, Pouch 8fl.oz","595375","case","12/8oz","oz",96,Each,"oz"
IT947831,"Filthy Pimento Olives 64oz","947831","case","6/64oz","oz",384,Each,"oz"
IT99012,"Firewater Bitters 5fl.oz","99012","case","12/5oz","oz",60,Each,"oz"
IT133008,"Fragola Strawberries 1each","133008","case","6/1each","each",6,Each,"oz"
IT20652,"Fresno Red 1case","20652","bottle","1each","each",1,Each,"oz"
IT20652,"Fresno Red 1case","","case","1ea","ea",1,Each,"oz"
BARC000024,"Fresno Red 1lb","88951","case","2/1lb","lb",32,Each,"oz"
BARC000024,"Fresno Red 1lb","20652","bottle","1lb","lb",16,Each,"oz"
