invoice_id,invoice_number,vendor,date,invoice_total,missing_value,storage_path
be79a4c6-a23c-4d87-99ee-8965a9f958cc,996008797,SYSCO,2002-07-01,1159.94,1159.94,uploads/1769306251795-Kitchen Invoices 3_pg11-11.pdf
a0487c49-7eb4-4501-b2e5-099bafaf5120,990608797,SYSCO,2002-07-01,11,11,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769311198000-New8_page6.pdf
a6e61d52-0ea2-47f5-ad08-6bd3c3a2c890,996115744,SYSCO,1996-01-23,917.45,917.45,uploads/1769306935415-Kitchen Invoices 9_pg4-4.pdf
952cc8f9-bb95-41fa-9cc5-f975a8ef0ae3,25262,SEAFOOD SUPPLY COMPANY,2026-10-19,1155.9,172.19999999999982,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310646588-New6_page3.pdf
57ee43ce-b9a0-415b-9693-8ee794f2151c,26-7/60073,SEAFOOD SUPPLY COMPANY,2026-07-21,543.13,512.23,uploads/1769304380103-Kitchen Invoices 8_pg9-9.pdf
7a18f86b-3119-4015-87d4-d34d0fe49b08,G0252069,OAK FARMS-DALLAS DFA DAIRY BRANDS,2026-01-28,168.24,72.65,uploads/1769306405356-Kitchen Invoices 6_pg1-1.pdf
27d19d93-78ae-4830-bac2-4cb1a6ae422b,1B8357,Allen Brothers Texas,2026-01-23,1354.87,1345.6,uploads/1769304454275-Kitchen Invoices 9_pg3-3.pdf
6ba042ed-0d57-4981-b51a-94cdf34f7b3b,188357,Texas Steakhouse,2026-01-23,1354.87,1345.6,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769307257852-New6.pdf
aaf4e8e1-fa5a-4594-bdff-b0b478f783ca,01534559,Chef's Produce,2026-01-23,387.84,206.5,uploads/1769304551104-Kitchen Invoices 9_pg9-9.pdf
9374dda9-b6f5-4901-bbad-0244a23d6564,60252296,OAK FARMS-DALLAS DFA DAIRY BRANDS,2026-01-23,379.95,274.66999999999996,uploads/1769306863745-Kitchen Invoices 9_pg1-1.pdf
5998002a-682e-491b-b05a-4874c3e60bb0,01535052,Chef's Produce,2026-01-23,344.11,181.95000000000002,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310085240-New4_page20.pdf
ae46d496-797d-45b2-b52a-0b5692daae4b,0153965,Chef's Produce,2026-01-22,363.84,119.82999999999998,uploads/1769304263253-Kitchen Invoices 8_pg1-1.pdf
e2eb8607-9f09-46e9-989a-4a819ef18da9,980869,Mr. Greens,2026-01-22,319.81,38.80000000000001,uploads/1769306811045-Kitchen Invoices 8_pg7-7.pdf
bcce3c6d-87b5-4e3c-8b4d-ed38a24f2953,01533965,Chef's Produce,2026-01-22,363.84,49.410000000000025,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769309824022-New4_page16.pdf
d5f8f3c6-3c1a-47f7-884b-84fd2a56b37c,M-3404601,MFW - Maekor Fine Wine,2026-01-22,2169.94,1943.47,uploads/1769292489606-Jan_23__Doc_3.pdf
b61c2cd8-3f48-40a2-9ce0-b969b381d845,01533336,Chef's Produce,2026-01-21,593.5,279.75,uploads/1769304193203-Kitchen Invoices 7_pg5-5.pdf
0b98b121-8ead-4073-888b-0e2d455f24dc,980215,Mr. Greens,2026-01-21,122.78,56.620000000000005,uploads/1769304248032-Kitchen Invoices 7_pg8-8.pdf
dda42f0e-694d-4aa8-812c-6ced58f9019a,980565,Mr. Greens,2026-01-21,236.6,214.85999999999999,uploads/1769304237216-Kitchen Invoices 7_pg7-7.pdf
3a086fec-eab3-4e27-869b-ce31174acaf6,70960274,Chefs Warehouse Midwest LLC,2026-01-21,675.19,616.9300000000001,uploads/1769304168212-Kitchen Invoices 7_pg4-4.pdf
7d75b4ea-01b5-4858-9458-a0ef194a2506,50252069,OAK FARMS-DALLAS DFA DAIRY BRANDS,2026-01-20,168.24,72.73000000000002,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769310340287-New5_page6.pdf
4a851a11-f083-454d-9bf4-f07ea503d2f6,179079,Republic National Distributing Company,2026-01-20,18713,6942,uploads/1769292489606-Jan_23__Doc_3.pdf
f8f4ea79-8d1f-4c5c-bbb0-a60cc42fe45a,05899,RARE FOODS,2026-01-20,738.76,156,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306178824-Kitchen Invoices 6_pg5-5.pdf
e4197b93-9db3-470b-824c-aba6d16e68d1,979569,Mr. Greens,2026-01-20,177.86,67.69999999999999,uploads/1769304015536-Kitchen Invoices 6_pg15-15.pdf
645f335a-50cb-43d1-a7a6-a78eade1c53e,70923428,The Chefs Warehouse,2026-01-19,2700.14,2189.21,uploads/1769302089306-invoices 5_pg11-11.pdf
00724d4f-7dac-40ee-878b-b860f490cb9d,5677184,MARION,2026-01-19,596.49,68.19999999999993,uploads/1769305153747-invoices 5_pg7-7.pdf
cbdc110f-14f7-4c40-bd42-796c26ae5599,978975,Mr. Greens,2026-01-19,210.33,97.30000000000001,invoices/79c33e6a-eb21-419f-9606-7494d1a9584c/1769306010337-invoices 5_pg4-4.pdf
